"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","News","57","0","Get news","0"
"14","","0","","22","0","","0"
"1","","0","Friends","0","0","Friend requests","0"
"0","","1","Authentication","0","0","User Login","0"
"0","","0","CreateEcoNews","3","0","Create new","0"
"0","","0","Friends","0","1","Friend Requests - Search","0"
"0","","1","Saved Places","0","0","Filters and search controls","0"
"0","GreenCity API","0","Friends API","0","1","Get mutual friends","0"
"0","GreenCity Main Functionality","0","User Profile","1","0","User menu functionality check.","0"
"0","GreenCity Main Functionality","0","Localization","1","0","User can switch site language from Header","0"
"0","GreenCity header functionality.","0","Header navigation.","1","0","User can be navigated to correct pages.","0"
"0","User Management","1","Login","0","0","Negative Login Scenarios","0"
